Order_Date,Category,Customer_ID,Revenue
2022-04-13,Technology,CUST-0271,318.05
2023-04-12,Furniture,CUST-0459,540.89
2022-04-10,Furniture,CUST-0131,135.73
2022-10-04,Office Supplies,CUST-0314,296.38
2023-07-15,Office Supplies,CUST-0170,163.57
2023-07-21,Technology,CUST-0131,175.67
2023-10-09,Furniture,CUST-0167,21.67
2022-12-06,Furniture,CUST-0444,428.37
2023-05-24,Technology,CUST-0035,166.52
2022-01-02,Office Supplies,CUST-0054,266.58
2023-04-22,Technology,CUST-0218,77.95
2022-09-28,Furniture,CUST-0215,300.81
2022-12-04,Office Supplies,CUST-0280,203.98
2022-07-07,Office Supplies,CUST-0041,95.73
2023-06-05,Technology,CUST-0492,130.55
2022-03-04,Technology,CUST-0081,381.58
2023-05-05,Office Supplies,CUST-0041,324.45
2022-07-20,Office Supplies,CUST-0418,164.29
2022-04-09,Office Supplies,CUST-0214,102.89
2023-09-05,Technology,CUST-0131,261.37
2023-01-28,Technology,CUST-0346,545.42
2023-04-06,Furniture,CUST-0352,50.89
2023-04-30,Furniture,CUST-0237,408.87
2023-06-25,Furniture,CUST-0160,571.49
2023-11-13,Technology,CUST-0441,356.68
2022-01-28,Furniture,CUST-0340,215.42
2022-12-14,Office Supplies,CUST-0190,390.72
2023-01-12,Office Supplies,CUST-0121,249.47
2023-04-01,Office Supplies,CUST-0318,243.23
2022-08-22,Office Supplies,CUST-0463,134.1
2023-11-23,Office Supplies,CUST-0497,124.07
2022-09-25,Furniture,CUST-0386,104.02
2023-11-30,Office Supplies,CUST-0130,279.56
2022-08-13,Office Supplies,CUST-0126,194.67
2023-02-20,Office Supplies,CUST-0439,68.09
2022-05-03,Furniture,CUST-0294,505.54
2023-05-26,Furniture,CUST-0097,51.95
2022-07-06,Furniture,CUST-0349,142.17
2022-12-12,Office Supplies,CUST-0147,364.43
2023-12-12,Furniture,CUST-0417,273.91
2023-04-18,Furniture,CUST-0415,354.36
2023-07-26,Furniture,CUST-0385,63.5
2023-10-14,Office Supplies,CUST-0160,49.58
2022-07-27,Technology,CUST-0152,446.99
2023-11-04,Office Supplies,CUST-0075,363.62
2023-04-18,Office Supplies,CUST-0349,624.75
2022-12-04,Office Supplies,CUST-0163,66.39
2023-02-02,Office Supplies,CUST-0404,319.93
2023-01-27,Technology,CUST-0401,272.02
2023-04-15,Furniture,CUST-0238,26.99
2022-08-18,Office Supplies,CUST-0438,178.96
2023-09-01,Office Supplies,CUST-0448,367.83
2023-10-21,Office Supplies,CUST-0192,75.74
2023-04-22,Furniture,CUST-0006,284.44
2022-02-06,Technology,CUST-0497,547.99
2022-09-10,Office Supplies,CUST-0471,183.26
2023-07-20,Office Supplies,CUST-0360,32.98
2023-09-18,Office Supplies,CUST-0342,58.25
2022-04-14,Office Supplies,CUST-0299,104.78
2022-02-08,Furniture,CUST-0247,43.08
2023-05-21,Furniture,CUST-0036,130.88
2022-11-17,Furniture,CUST-0494,238.19
2022-04-02,Office Supplies,CUST-0288,228.55
2022-02-20,Office Supplies,CUST-0063,142.63
2022-02-23,Office Supplies,CUST-0101,307.2
2022-02-22,Furniture,CUST-0108,106.85
2022-12-16,Office Supplies,CUST-0311,235.44
2023-10-18,Technology,CUST-0124,58.1
2022-12-12,Furniture,CUST-0117,22.96
2022-05-07,Office Supplies,CUST-0129,152.56
2023-09-30,Furniture,CUST-0089,154.69
2022-09-29,Office Supplies,CUST-0192,741.81
2022-03-17,Office Supplies,CUST-0435,406.38
2023-11-28,Office Supplies,CUST-0220,276.94
2022-08-06,Technology,CUST-0341,345.61
2022-10-16,Office Supplies,CUST-0357,574.46
2022-06-29,Office Supplies,CUST-0250,50.19
2023-08-31,Technology,CUST-0325,391.69
2022-09-15,Furniture,CUST-0384,547.37
2023-10-26,Office Supplies,CUST-0163,119.04
2023-09-05,Office Supplies,CUST-0065,133.71
2023-08-25,Office Supplies,CUST-0115,233.92
2022-07-15,Office Supplies,CUST-0114,374.24
2022-10-04,Technology,CUST-0164,251.48
2023-04-02,Office Supplies,CUST-0227,196.78
2022-04-06,Office Supplies,CUST-0190,218.73
2023-01-04,Office Supplies,CUST-0279,143.23
2022-03-03,Office Supplies,CUST-0217,243.33
2023-11-30,Furniture,CUST-0100,160.88
2023-01-19,Office Supplies,CUST-0367,119.26
2022-03-10,Furniture,CUST-0025,49.54
2022-05-24,Technology,CUST-0109,244.69
2022-07-05,Furniture,CUST-0223,269.45
2023-05-07,Technology,CUST-0230,240.4
2023-09-26,Furniture,CUST-0029,131.3
2022-12-05,Office Supplies,CUST-0365,437.43
2022-08-05,Office Supplies,CUST-0292,134.79
2023-02-19,Office Supplies,CUST-0364,555.15
2023-03-27,Furniture,CUST-0242,111.82
2022-12-27,Technology,CUST-0387,192.63
2022-07-09,Office Supplies,CUST-0369,209.03
2022-02-27,Furniture,CUST-0160,95.66
2022-05-29,Furniture,CUST-0213,282.71
2022-08-21,Furniture,CUST-0143,208.54
2023-01-08,Office Supplies,CUST-0259,183.3
2022-01-08,Furniture,CUST-0164,392.58
2023-11-29,Furniture,CUST-0028,25.93
2023-07-12,Furniture,CUST-0390,261.57
2022-09-13,Office Supplies,CUST-0409,329.28
2022-01-05,Furniture,CUST-0289,180.2
2022-05-26,Technology,CUST-0177,496.84
2023-11-20,Technology,CUST-0098,112.3
2023-05-26,Furniture,CUST-0496,235.83
2023-10-07,Technology,CUST-0437,133.95
2023-07-19,Technology,CUST-0458,55.24
2022-01-01,Technology,CUST-0205,116.63
2023-03-25,Office Supplies,CUST-0288,199.75
2022-11-02,Technology,CUST-0054,140.99
2023-02-05,Furniture,CUST-0303,503.81
2022-03-16,Furniture,CUST-0422,145.47
2022-11-02,Office Supplies,CUST-0286,93.36
