,,,, MoM Growth %,,,Average MoM Growth %,,,,Standard deviation for MoM %,,,,Trend Direction,,
Row Labels,Furniture,Office Supplies,Technology,Furniture % ,Office supply %,Technology %,Avg for fur,Avg for os,avg for tech,,Volatility for furniture,Volatility for OS,Volatility for Tech,,furniture early,office supplies Early,Technology Early
2022-01,13113.81,16117.09,13338.34,,,,4%,3%,3%,,24%,17%,24%,,8%,4%,0%
2022-02,16141.48,18751.51,11700.19,23%,16%,-12%,,,,,,,,,furniture recent,Office Supply Recent,Technology Recent
2022-03,8674.61,17491,15694.98,-46%,-7%,34%,,,,,,,,,1%,1%,-1%
2022-04,12670.29,15001.77,18603.09,46%,-14%,19%,,,,,,,,,,,
2022-05,14461.68,20624.12,17332.84,14%,37%,-7%,,,,,,,,,,,
2022-06,16093.53,21783.45,16514.1,11%,6%,-5%,,,,,,,,,,,
2022-07,16148.23,18166.77,11286.35,0%,-17%,-32%,,,,,,,,,,,
2022-08,15570.82,21242.29,14258,-4%,17%,26%,,,,,,,,,,,
2022-09,13264.93,21900.94,18569.97,-15%,3%,30%,,,,,,,,,,,
2022-10,16160.2,20731.55,16034.49,22%,-5%,-14%,,,,,,,,,,,
2022-11,13638.1,18569.9,15145.73,-16%,-10%,-6%,,,,,,,,,,,
2022-12,16872.19,28082.32,9503.14,24%,51%,-37%,,,,,,,,,,,
2023-01,13213.89,22314.01,14593.39,-22%,-21%,54%,,,,,,,,,,,
2023-02,12625.27,21398.96,17590.95,-4%,-4%,21%,,,,,,,,,,,
2023-03,18745.35,20187.25,12149.81,48%,-6%,-31%,,,,,,,,,,,
2023-04,14907.62,20885.86,14375.66,-20%,3%,18%,,,,,,,,,,,
2023-05,17626.38,22226.21,14823.52,18%,6%,3%,,,,,,,,,,,
2023-06,19309.47,21114.8,16248.56,10%,-5%,10%,,,,,,,,,,,
2023-07,23004.56,22822.64,13818.39,19%,8%,-15%,,,,,,,,,,,
2023-08,12652.16,20751.65,15354.74,-45%,-9%,11%,,,,,,,,,,,
2023-09,15097.97,19774.82,13772.43,19%,-5%,-10%,,,,,,,,,,,
2023-10,12256.97,17286.74,13430.53,-19%,-13%,-2%,,,,,,,,,,,
2023-11,14370.73,17842.9,18486.75,17%,3%,38%,,,,,,,,,,,
2023-12,16367.95,21748.17,13279.32,14%,22%,-28%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
